#T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-5.016	-3.341	-5.356	-6.919	62.151	44.134	183.084	246.759
-4.079	-3.116	-4.523	-5.724	89.204	48.676	38.102	72.818
-3.121	-2.152	-3.873	-4.417	97.829	55.174	86.136	111.226
-5.165	-3.220	-4.358	-6.494	161.580	37.442	36.513	78.474
-2.560	-1.835	-2.706	-3.754	136.726	88.392	107.622	171.889
-6.006	-4.858	-5.787	-6.495	50.632	36.434	66.923	92.874
-2.743	-2.130	-3.625	-3.676	56.299	31.930	90.646	83.853
-4.581	-1.911	-2.885	-5.787	124.534	65.491	49.994	115.858
-2.555	-1.299	-2.080	-3.714	225.255	112.738	255.132	282.290
-1.961	-2.197	-3.623	-3.435	61.027	82.074	53.514	55.772
-1.800	-2.736	-4.194	-3.197	91.097	63.755	44.944	45.679
-1.282	-1.485	-3.028	-2.714	148.148	78.901	218.107	194.512
-7.715	-5.452	-6.709	-8.998	84.662	40.797	121.440	196.862
-10.046	-9.966	-11.219	-12.233	457.451	336.404	31.880	64.368
-3.525	-3.516	-4.748	-5.363	60.936	79.983	68.775	102.521
-6.859	-5.422	-7.251	-7.513	152.678	109.164	33.290	41.581
-3.096	-2.017	-3.426	-3.989	35.135	28.768	163.688	214.246
-7.898	-5.600	-6.571	-9.597	248.021	35.246	163.981	268.027
-1.510	-3.424	-4.580	-3.461	63.480	99.600	226.808	236.654
-17.025	-19.352	-20.828	-19.406	15.066	44.685	254.066	180.822
-7.017	-6.150	-7.736	-9.399	172.063	88.383	200.025	285.828
-1.829	-4.400	-5.734	-3.061	60.579	88.887	115.010	83.273
-1.349	-2.728	-4.312	-3.048	90.625	110.912	148.794	105.008
-6.982	-4.668	-6.891	-7.753	37.269	47.231	100.852	147.538
-4.121	-2.830	-4.187	-5.735	148.875	75.220	187.725	300.476
-1.223	-1.201	-1.445	-1.804	207.761	135.454	135.885	120.994
-1.245	-1.548	-3.148	-2.682	108.381	93.108	240.027	257.117
-1.105	-2.120	-3.491	-1.704	132.836	148.038	182.510	162.251
-4.570	-2.626	-6.488	-5.624	75.871	34.140	640.641	591.275
-1.229	-1.260	-3.121	-3.158	160.053	7.155	118.514	79.978
-3.394	-1.400	-2.928	-5.215	226.728	102.180	75.178	152.947
